id,brokerid,clientid,institutionid,loanamount,rate,cbscore,province,city,occupancy,product,purpose,status,date
123523,31,2986,16,678000,0.0704,586,AB,Calgary,Owner Occupied,First Mortgage,refinance,approved,2022-08-08
123524,32,2648,4,789000,0.0714,582,ON,Brantford,Owner Occupied,First Mortgage,refinance,cancelled,2022-08-10
123525,19,1535,17,890000,0.0724,700,BC,Richmond,Owner Occupied,Second Mortgage,refinance,declined,2022-08-22
123526,24,1655,17,908000,0.0734,800,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,funded,2022-09-01
123527,16,2697,16,987000,0.0744,500,ON,Georgetown,Owner Occupied,HELOC,refinance,approved,2022-10-09
123528,28,2106,14,876000,0.0754,600,ON,Georgetown,Owner Occupied,HELOC,refinance,cancelled,2022-10-18
123529,34,1023,7,876000,0.0764,639,AB,Edmonton,Owner Occupied,HELOC,refinance,declined,2022-11-15
123530,24,2214,13,765000,0.0774,658,ON,Georgetown,Owner Occupied,First Mortgage,Purchase,declined,2022-11-27
123531,10,1003,7,654000,0.0784,639,ON,Georgetown,Owner Occupied,First Mortgage,Purchase,declined,2022-01-04
123532,4,2567,1,543000,0.0794,639,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,declined,2022-02-07
123533,18,2651,2,432000,0.0794,639,ON,Georgetown,Owner Occupied,First Mortgage,Purchase,declined,2022-02-10
123534,9,1751,3,321000,0.0794,639,ON,Georgetown,Owner Occupied,First Mortgage,Purchase,approved,2022-02-21
123535,18,1050,12,219000,0.0794,639,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,approved,2022-02-22
123536,8,2654,13,112500,0.0794,639,ON,Oakville,Owner Occupied,First Mortgage,Purchase,approved,2022-02-23
123537,1,1141,2,198000,0.0794,639,ON,Oakville,Owner Occupied,HELOC,refinance,approved,2022-03-17
123538,30,1099,6,395500,0.0664,639,AB,Edmonton,Owner Occupied,HELOC,refinance,approved,2022-04-07
123539,4,1427,10,125000,0.0664,639,ON,Mississauga,Owner Occupied,First Mortgage,Refinance,funded,2022-04-13
123540,33,1179,9,346000,0.0664,568,ON,Mississauga,Owner Occupied,First Mortgage,Purchase,approved,2022-06-14
123541,26,2572,8,100000,0.0664,568,AB,Calgary,Owner Occupied,HELOC,refinance,cancelled,2022-06-26
123542,9,1496,1,220000,0.0664,578,ON,Mississauga,Owner Occupied,First Mortgage,Purchase,declined,2022-07-04
123543,27,2484,1,350000,0.0664,785,ON,Mississauga,Owner Occupied,HELOC,refinance,funded,2022-07-25
123544,16,2616,12,450000,0.0664,865,AB,Calgary,Owner Occupied,HELOC,refinance,approved,2022-08-18
123545,23,1491,12,1000000,0.0664,584,ON,Mississauga,Owner Occupied,HELOC,refinance,cancelled,2022-09-29
123546,5,1014,13,1200000,0.0664,656,ON,Mississauga,Owner Occupied,HELOC,refinance,declined,2022-10-06
123547,13,1075,1,300000,0.0664,659,AB,Calgary,Owner Occupied,Second Mortgage,refinance,declined,2022-11-01
123548,25,1049,13,605000,0.0754,482,ON,Mississauga,Owner Occupied,First Mortgage,refinance,declined,2022-11-15
123549,29,1782,9,610000,0.0764,872,BC,New Westminster,Owner Occupied,HELOC,refinance,declined,2022-11-17
123550,29,2059,11,515000,0.0774,778,ON,Milton,Owner Occupied,First Mortgage,Purchase,declined,2022-12-04
123551,20,2611,2,420000,0.0784,542,ON,Milton,Owner Occupied,HELOC,refinance,approved,2022-12-06
123552,28,2568,15,450000,0.0794,549,BC,Maple Ridge,Owner Occupied,HELOC,refinance,funded,2022-12-14
123553,35,1511,17,780000,0.0664,489,ON,Cornwall,Owner Occupied,HELOC,refinance,approved,2022-12-18
123554,18,1101,15,790000,0.0674,748,ON,Ingersoll,Owner Occupied,HELOC,refinance,cancelled,2022-12-27
123555,18,2200,10,760000,0.0684,745,BC,White Rock,Owner Occupied,First Mortgage,Purchase,declined,2022-12-28
123556,18,2135,10,450000,0.0694,685,ON,Cornwall,Owner Occupied,HELOC,refinance,funded,2022-01-03
123557,30,2358,14,120000,0.0669,658,ON,Ingersoll,Owner Occupied,First Mortgage,refinance,approved,2022-01-06
123558,18,1091,11,140000,0.0704,689,BC,Langford,Owner Occupied,First Mortgage,refinance,cancelled,2022-03-02
123559,9,2441,12,865000,0.0704,487,ON,Napanee,Owner Occupied,Second Mortgage,refinance,declined,2022-03-09
123560,17,2398,4,730500,0.0714,785,ON,Napanee,Owner Occupied,Second Mortgage,refinance,declined,2022-03-10
123561,10,1647,13,345000,0.0724,848,BC,Abbotsford,Owner Occupied,First Mortgage,refinance,declined,2022-03-13
123562,28,2971,2,456500,0.0724,858,ON,Collingwood,Owner Occupied,HELOC,refinance,funded,2022-04-04
123563,5,1917,13,340950,0.0734,867,ON,Collingwood,Owner Occupied,HELOC,refinance,approved,2022-04-28
123564,12,2154,8,240950,0.0744,785,BC,Abbotsford,Owner Occupied,HELOC,refinance,cancelled,2022-05-01
123565,22,2721,3,100000,0.0754,598,ON,Cornwall,Owner Occupied,HELOC,refinance,declined,2022-06-06
123566,8,1959,3,220000,0.0764,487,ON,Ingersoll,Owner Occupied,HELOC,refinance,funded,2022-06-14
123567,1,1600,12,350000,0.0809,798,BC,Chilliwack,Owner Occupied,Second Mortgage,refinance,approved,2022-06-23
123568,23,2176,9,450000,0.0669,984,ON,Wasaga Beach,Owner Occupied,Second Mortgage,refinance,cancelled,2022-06-26
123569,19,1655,16,1000000,0.0809,458,ON,Wasaga Beach,Owner Occupied,First Mortgage,Purchase,declined,2022-07-10
123570,19,2195,13,1200000,0.0814,788,BC,Kamloops,Rental ,HELOC,refinance,declined,2022-07-13
123571,23,1562,10,300000,0.0814,548,AB,Edmonton,Rental ,HELOC,refinance,declined,2022-07-14
123572,36,2556,17,605000,0.0689,645,ON,Wasaga Beach,Rental ,Second Mortgage,refinance,declined,2022-08-10
123573,25,2696,9,670500,0.0654,545,ON,Wasaga Beach,Rental ,First Mortgage,Purchase,declined,2022-08-16
123574,33,1045,7,325100,0.0684,688,AB,Red Deer,Rental ,First Mortgage,Purchase,approved,2022-09-15
123575,23,2603,9,450510,0.0674,479,ON,Wasaga Beach,Rental ,HELOC,refinance,approved,2022-10-10
123576,19,1802,12,1500500,0.0809,687,ON,Wasaga Beach,Rental ,First Mortgage,Purchase,approved,2022-10-16
123577,1,1711,10,1300500,0.0714,678,AB,Red Deer,Rental ,First Mortgage,Purchase,approved,2022-11-16
123578,14,1457,2,1230000,0.0714,574,ON,Peterborough,Rental ,Second Mortgage,refinance,approved,2022-11-29
123579,7,2512,17,560500,0.0734,647,ON,Peterborough,Rental ,Second Mortgage,refinance,approved,2022-12-05
123580,14,2801,14,460000,0.0734,857,AB,Medicine Hat,Rental ,HELOC,refinance,approved,2022-12-12
123581,10,2427,7,458000,0.0744,848,ON,Peterborough,Rental ,Second Mortgage,refinance,approved,2022-01-03
123582,34,1198,14,230950,0.0754,848,ON,Peterborough,Rental ,Second Mortgage,refinance,approved,2022-02-14
123583,3,1175,13,569500,0.0764,858,AB,Red Deer,Rental ,Second Mortgage,refinance,approved,2022-03-03
123584,16,2779,4,395500,0.0774,979,ON,Orillia,Rental ,HELOC,refinance,approved,2022-04-28
123585,23,1010,7,604600,0.0714,673,ON,Orillia,Owner Occupied,Second Mortgage,refinance,cancelled,2022-05-17
123586,3,2972,2,294000,0.0724,451,AB,Red Deer,Owner Occupied,HELOC,refinance,cancelled,2022-05-26
123587,24,2140,16,239500,0.0734,548,ON,Sudbury,Owner Occupied,First Mortgage,Purchase,cancelled,2022-06-02
123588,29,1812,1,239000,0.0744,897,ON,Sudbury,Owner Occupied,Second Mortgage,refinance,funded,2022-06-13
123589,3,2549,1,129500,0.0754,874,AB,Blackfalds,Owner Occupied,First Mortgage,Purchase,funded,2022-06-23
123590,29,1872,9,708300,0.0764,645,ON,Sudbury,Owner Occupied,HELOC,refinance,funded,2022-06-27
123591,12,1340,12,962000,0.0774,547,ON,Niagara Falls,Owner Occupied,Second Mortgage,refinance,funded,2022-07-03
123592,11,2163,13,999000,0.0784,874,AB,Blackfalds,Owner Occupied,HELOC,refinance,funded,2022-07-18
123593,3,1702,12,888000,0.0794,800,ON,Niagara Falls,Owner Occupied,HELOC,refinance,funded,2022-07-19
123594,21,1054,7,777000,0.0794,650,ON,Niagara Falls,Owner Occupied,HELOC,refinance,funded,2022-07-31
123595,22,1415,13,230000,0.0794,870,AB,Blackfalds,Owner Occupied,HELOC,refinance,funded,2022-08-11
123596,26,2994,2,666000,0.0794,800,ON,Niagara Falls,Owner Occupied,Second Mortgage,refinance,funded,2022-09-08
123597,33,2246,16,450000,0.0794,710,ON,Niagara Falls,Owner Occupied,HELOC,refinance,funded,2022-09-14
123598,6,2876,9,555000,0.0794,711,AB,Lloydminster,Owner Occupied,First Mortgage,Purchase,funded,2022-09-26
123599,30,1107,3,444000,0.0664,510,ON,Niagara Falls,Owner Occupied,HELOC,refinance,funded,2022-10-06
123600,29,1253,12,333000,0.0664,650,ON,Windsor,Owner Occupied,HELOC,refinance,funded,2022-11-01
123601,35,1188,18,205000,0.0664,505,AB,Canmore,Owner Occupied,HELOC,refinance,funded,2022-11-07
123602,24,1484,8,111000,0.0664,567,ON,Windsor,Owner Occupied,HELOC,refinance,funded,2022-12-01
123603,10,1226,15,123000,0.0664,598,ON,Windsor,Owner Occupied,First Mortgage,Purchase,funded,2022-12-13
123604,21,2259,10,234000,0.0664,548,BC,Courtenay,Owner Occupied,Second Mortgage,refinance,funded,2022-12-26
123605,17,2772,15,345000,0.0664,874,BC,Cranbrook,Owner Occupied,First Mortgage,Purchase,funded,2022-12-28
123606,27,2286,12,456000,0.0664,568,BC,Duncan,Owner Occupied,First Mortgage,Purchase,approved,2022-01-10
123607,33,1127,6,567000,0.0664,568,BC,Port Alberni,Owner Occupied,HELOC,refinance,approved,2022-01-17
123608,31,1908,7,678000,0.0664,578,BC,Port Alberni,Owner Occupied,HELOC,refinance,cancelled,2022-01-30
123609,26,2721,11,789000,0.0784,785,BC,Port Alberni,Owner Occupied,First Mortgage,Purchase,funded,2022-01-31
123610,17,2170,13,890000,0.0664,648,BC,Lloydminster,Owner Occupied,First Mortgage,refinance,cancelled,2022-02-03
123611,9,2715,9,908000,0.0724,586,BC,Lloydminster,Owner Occupied,First Mortgage,refinance,declined,2022-03-02
123612,22,2277,11,987000,0.0664,582,BC,Kelowna,Owner Occupied,First Mortgage,refinance,approved,2022-03-03
123613,23,1841,15,876000,0.0664,700,BC,Mission,Owner Occupied,First Mortgage,refinance,approved,2022-03-10
123614,20,1721,1,876000,0.0724,800,BC,Nanaimo,Owner Occupied,HELOC,refinance,cancelled,2022-04-06
123615,7,1486,5,765000,0.0669,500,BC,Qualicum Beach,Owner Occupied,Second Mortgage,refinance,funded,2022-04-10
123616,34,1604,12,654000,0.0814,600,BC,Qualicum Beach,Owner Occupied,First Mortgage,Purchase,approved,2022-04-20
123617,13,1437,12,543000,0.0664,639,BC,Qualicum Beach,Owner Occupied,First Mortgage,Purchase,approved,2022-06-02
123618,13,1966,14,432000,0.0809,658,BC,Vernon,Owner Occupied,First Mortgage,Purchase,approved,2022-06-07
123619,25,1775,16,321000,0.0664,639,BC,Campbell River,Owner Occupied,Second Mortgage,refinance,declined,2022-06-09
123620,27,1902,14,219000,0.0714,639,BC,Campbell River,Owner Occupied,HELOC,refinance,funded,2022-06-20
123621,1,2862,1,112500,0.0694,639,BC,Campbell River,Owner Occupied,HELOC,refinance,funded,2022-07-10
123622,33,1670,17,198000,0.0794,639,BC,Nanaimo,Owner Occupied,HELOC,refinance,cancelled,2022-07-14
123623,23,2420,16,395500,0.0724,639,ON,Barrie,Owner Occupied,First Mortgage,Purchase,funded,2022-07-27
123624,16,1598,6,125000,0.0724,639,ON,Barrie,Owner Occupied,Second Mortgage,refinance,approved,2022-08-11
123625,31,1407,13,346000,0.0664,639,BC,Nanaimo,Owner Occupied,First Mortgage,Purchase,funded,2022-10-09
123626,21,1691,13,432000,0.0754,639,BC,Abbotsford,Owner Occupied,First Mortgage,Purchase,declined,2022-10-13
123627,24,2303,8,120100,0.0729,639,BC,Abbotsford,Owner Occupied,Second Mortgage,refinance,funded,2022-11-23
123628,24,2044,3,406600,0.0684,568,BC,Vancouver,Owner Occupied,First Mortgage,refinance,funded,2022-12-05
123629,4,2187,6,204900,0.0794,568,BC,Vancouver,Owner Occupied,First Mortgage,refinance,funded,2022-12-08
123630,19,1906,17,238500,0.0729,578,BC,Coquitlam,Owner Occupied,First Mortgage,Purchase,approved,2022-12-22
123631,36,2213,16,693500,0.0774,785,BC,Coquitlam,Owner Occupied,Second Mortgage,refinance,approved,2022-01-10
123632,17,2159,7,1120500,0.0669,865,BC,Coquitlam,Owner Occupied,HELOC,refinance,funded,2022-01-17
123633,15,1785,1,1320500,0.0664,584,BC,Burnaby,Owner Occupied,HELOC,refinance,approved,2022-01-30
123634,21,2628,14,985500,0.0689,656,BC,Vancouver,Owner Occupied,Second Mortgage,refinance,declined,2022-01-31
123635,16,1434,4,192000,0.0809,659,BC,Vancouver,Owner Occupied,Second Mortgage,refinance,funded,2022-02-03
123636,13,1568,14,100000,0.0714,482,BC,Vancouver,Owner Occupied,HELOC,refinance,funded,2022-03-02
123637,9,1094,7,100000,0.0669,872,BC,Vancouver,Owner Occupied,HELOC,refinance,approved,2022-03-03
123638,4,1946,8,293500,0.0704,778,BC,Maple Ridge ,Owner Occupied,Second Mortgage,refinance,funded,2022-03-10
123639,19,1011,3,129500,0.0669,542,BC,Port Alberni,Owner Occupied,HELOC,refinance,funded,2022-04-06
123640,26,1658,15,496000,0.0734,549,BC,Victoria,Owner Occupied,First Mortgage,refinance,cancelled,2022-04-10
123641,9,1000,2,394500,0.0734,489,BC,Victoria,Owner Occupied,First Mortgage,refinance,funded,2022-04-20
123642,12,2480,14,205000,0.0664,748,BC,Victoria,Owner Occupied,First Mortgage,Purchase,funded,2022-06-02
123643,14,1095,12,193500,0.0784,745,BC,Victoria,Owner Occupied,First Mortgage,Purchase,declined,2022-06-07
123644,15,1372,1,794500,0.0704,685,ON,Kitchener,Owner Occupied,Second Mortgage,refinance,funded,2022-06-09
123645,19,2770,4,684500,0.0664,658,ON,Kitchener,Owner Occupied,Second Mortgage,refinance,cancelled,2022-06-20
123646,8,2005,17,395600,0.0779,689,BC,Saanich,Owner Occupied,First Mortgage,Purchase,approved,2022-07-10
123647,12,1085,10,234600,0.0734,487,BC,Saanich,Owner Occupied,First Mortgage,Purchase,funded,2022-07-14
123648,2,1861,14,239500,0.0754,785,BC,Vancouver,Owner Occupied,HELOC,refinance,approved,2022-07-27
123649,9,1503,1,19100,0.0689,848,BC,Nanaimo,Owner Occupied,HELOC,refinance,declined,2022-08-11
123650,25,1461,5,194500,0.0664,858,BC,Nanaimo,Owner Occupied,First Mortgage,Purchase,cancelled,2022-10-09
123651,15,1330,18,795000,0.0699,867,BC,Kelowna,Owner Occupied,First Mortgage,Purchase,declined,2022-10-13
123652,35,2103,6,658000,0.0664,785,BC,Kelowna,Owner Occupied,HELOC,refinance,cancelled,2022-11-23
123653,34,1311,2,395000,0.0809,598,BC,Kelowna,Owner Occupied,First Mortgage,refinance,funded,2022-12-05
123654,4,1648,8,1009500,0.0714,487,AB,Airdrie,Owner Occupied,First Mortgage,Purchase,funded,2022-12-08
123655,7,2230,17,125500,0.0714,798,AB,Calgary,Owner Occupied,HELOC,refinance,declined,2022-12-22
123656,36,2541,5,1125500,0.0809,984,AB,Calgary,Owner Occupied,HELOC,refinance,funded,2022-01-24
123657,4,2399,7,305600,0.0734,458,AB,Calgary,Owner Occupied,HELOC,refinance,approved,2022-02-08
123658,19,2767,14,395700,0.0809,979,AB,Calgary,Owner Occupied,First Mortgage,refinance,declined,2022-02-09
123659,33,2888,15,128300,0.0679,673,AB,Calgary,Owner Occupied,First Mortgage,Purchase,declined,2022-02-10
123660,10,1750,16,608500,0.0789,451,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-02-24
123661,30,2787,8,100000,0.0674,548,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,funded,2022-03-09
123662,34,2937,2,220000,0.0754,897,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,funded,2022-03-22
123663,30,1080,10,350000,0.0714,874,AB,Calgary,Owner Occupied,Second Mortgage,refinance,approved,2022-03-30
123664,12,2920,12,450000,0.0794,645,AB,Calgary,Owner Occupied,HELOC,refinance,approved,2022-05-04
123665,21,2310,9,1000000,0.0664,547,AB,Calgary,Owner Occupied,HELOC,refinance,funded,2022-05-12
123666,22,1938,13,1200000,0.0664,874,AB,Calgary,Owner Occupied,First Mortgage,Purchase,cancelled,2022-07-10
123667,7,1113,12,300000,0.0684,800,AB,Calgary,Owner Occupied,First Mortgage,refinance,funded,2022-07-21
123668,35,1733,15,605000,0.0744,650,AB,Edmonton,Owner Occupied,First Mortgage,refinance,funded,2022-08-01
123669,25,2654,16,610000,0.0694,870,AB,Edmonton,Owner Occupied,HELOC,refinance,declined,2022-08-09
123670,17,2573,2,515000,0.0674,800,AB,Edmonton,Owner Occupied,HELOC,refinance,approved,2022-08-16
123671,31,2795,6,420000,0.0744,710,AB,Red Deer,Owner Occupied,First Mortgage,Purchase,approved,2022-08-17
123672,5,1877,17,450000,0.0664,711,AB,Red Deer,Owner Occupied,HELOC,refinance,declined,2022-08-18
123673,10,2463,17,780000,0.0814,510,AB,Lethbridge,Owner Occupied,HELOC,refinance,declined,2022-09-05
123674,27,1505,7,790000,0.0754,650,AB,Lethbridge,Owner Occupied,First Mortgage,Purchase,approved,2022-10-03
123675,32,1740,12,760000,0.0664,505,AB,Sherwood Park,Owner Occupied,First Mortgage,Purchase,declined,2022-10-13
123676,25,2971,13,450000,0.0654,567,AB,Sherwood Park,Owner Occupied,Second Mortgage,refinance,approved,2022-10-27
123677,4,2259,8,120000,0.0679,598,AB,Sherwood Park,Owner Occupied,HELOC,refinance,declined,2022-11-16
123678,35,1950,14,140000,0.0779,548,AB,Sherwood Park,Owner Occupied,HELOC,refinance,funded,2022-11-20
123679,14,1848,14,865000,0.0769,874,AB,Fort Saskatchewan,Owner Occupied,HELOC,refinance,funded,2022-12-12
123680,4,1471,10,730500,0.0784,568,AB,Fort Saskatchewan,Owner Occupied,First Mortgage,Purchase,funded,2022-12-21
123681,3,2133,6,345000,0.0654,568,AB,Fort Saskatchewan,Owner Occupied,First Mortgage,Purchase,cancelled,2022-01-27
123682,17,1940,16,456500,0.0684,578,AB,Fort Saskatchewan,Owner Occupied,HELOC,refinance,approved,2022-01-30
123683,15,2990,12,340950,0.0739,785,AB,Fort Saskatchewan,Owner Occupied,First Mortgage,Purchase,approved,2022-02-14
123684,8,1665,16,240950,0.0664,648,AB,St. Albert,Owner Occupied,First Mortgage,Purchase,approved,2022-02-24
123685,25,1941,3,100000,0.0794,586,AB,St. Albert,Owner Occupied,HELOC,refinance,approved,2022-03-30
123686,10,1168,3,220000,0.0754,582,AB,St. Albert,Owner Occupied,HELOC,refinance,funded,2022-05-03
123687,7,2580,17,350000,0.0664,700,AB,Chestermere,Owner Occupied,HELOC,refinance,approved,2022-06-16
123688,19,1759,8,450000,0.0814,800,AB,Chestermere,Owner Occupied,Second Mortgage,refinance,approved,2022-06-21
123689,29,2212,13,1000000,0.0704,500,AB,Chestermere,Owner Occupied,Second Mortgage,refinance,funded,2022-06-23
123690,22,2665,9,1200000,0.0704,600,AB,Okotoks,Owner Occupied,HELOC,refinance,declined,2022-07-03
123691,35,1768,12,300000,0.0774,639,AB,Okotoks,Owner Occupied,Second Mortgage,refinance,funded,2022-07-17
123692,11,2058,16,605000,0.0664,658,AB,Okotoks,Owner Occupied,First Mortgage,Purchase,declined,2022-07-20
123693,2,2640,8,670500,0.0689,639,AB,Okotoks,Owner Occupied,HELOC,refinance,funded,2022-07-25
123694,3,1963,14,325100,0.0744,639,AB,Okotoks,Owner Occupied,First Mortgage,Purchase,funded,2022-07-26
123695,21,1095,14,450510,0.0744,639,AB,Okotoks,Owner Occupied,First Mortgage,Purchase,approved,2022-08-24
